City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Camacha,PT,33.0833,-16.3333,63.54,94,40,12.66,scattered clouds
308,Esperance,AU,-33.8667,121.9,66.04,58,3,16.69,clear sky
309,Bandarbeyla,SO,9.4942,50.8122,73.99,75,14,15.75,few clouds
310,Hornepayne,CA,49.2138,-84.7705,-4.63,88,100,7.14,overcast clouds
311,Garowe,SO,8.4054,48.4845,66.56,80,9,8.9,clear sky
312,Rodotopion,GR,39.7083,20.7258,36.99,56,25,10.36,scattered clouds
313,Turan,VN,16.0678,108.2208,69.78,78,75,4.61,broken clouds
314,Bandar-E Lengeh,IR,26.5579,54.8807,68.5,56,0,6.15,clear sky
315,Buraydah,SA,26.326,43.975,52.25,38,0,8.01,clear sky
316,Shelburne,CA,44.0787,-80.2041,28.8,96,100,11.27,overcast clouds
317,Terra Santa,BR,-2.1042,-56.4869,75.97,86,65,3.2,broken clouds
318,Yarmouth,US,41.7057,-70.2286,43.47,96,100,4.61,fog
319,Nome,US,64.5011,-165.4064,9.1,62,0,32.21,clear sky
320,Olovyannaya,RU,50.95,115.5667,-26.05,100,55,3.31,broken clouds
321,Ishinomaki,JP,38.4167,141.3,28.4,64,40,9.84,scattered clouds
322,Zaozerne,UA,45.1582,33.2787,42.94,95,100,10.04,overcast clouds
323,Trincomalee,LK,8.5711,81.2335,77.07,66,45,5.95,scattered clouds
324,Ambon,ID,-3.6954,128.1814,82.54,74,20,3.44,few clouds
325,Alugan,PH,12.2188,125.4808,79.29,84,76,15.52,broken clouds
326,Honningsvag,NO,70.9821,25.9704,27.41,73,93,10.25,overcast clouds
327,Whitehorse,CA,60.7161,-135.0538,-3.98,71,75,8.05,broken clouds
328,Aljezur,PT,37.3191,-8.8033,52.09,81,100,5.61,overcast clouds
329,Veglie,IT,40.3351,17.9652,53.15,76,40,10.36,scattered clouds
330,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,100,0.0,mist
331,Balezino,RU,57.9796,53.0106,12.34,99,99,4.32,snow
332,Astoria,US,46.1879,-123.8313,46.85,96,100,3.0,overcast clouds
333,Wanning,CN,18.8003,110.3967,63.18,91,69,11.34,broken clouds
334,Fallon,US,39.4735,-118.7774,39.42,31,0,3.4,clear sky
335,Severo-Kurilsk,RU,50.6789,156.125,30.24,77,97,8.5,overcast clouds
336,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,14.97,few clouds
337,Price,US,39.5994,-110.8107,27.66,33,75,13.8,broken clouds
338,Gannan,CN,47.9147,123.5031,-4.18,83,29,6.46,scattered clouds
339,San Remo,IT,43.8182,7.7612,58.19,67,1,1.99,clear sky
340,Batsfjord,NO,70.6345,29.7185,22.93,74,100,7.72,light snow
341,Faanui,PF,-16.4833,-151.75,81.19,74,14,18.84,few clouds
342,Dingle,PH,10.9995,122.6711,78.69,83,94,10.27,overcast clouds
343,Hithadhoo,MV,-0.6,73.0833,81.54,69,40,3.22,scattered clouds
344,Bardiyah,LY,31.7561,25.0865,52.3,70,90,15.19,overcast clouds
